video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"Qah9sSIXJqk","KGF Chapter2 TEASER |Yash|Sanjay Dutt|Raveena Tandon|Srinidhi Shetty|Prashanth Neel|Vijay Kiragandur","2021-01-07T15:57:35Z","UCarJoVXH0T2pdtcHBu9J8Bw","Hombale Films","24","21.14.01","Hombale films|hombale|hombale films kannada|hombale films kgf 2|kgf 2|yash|prashanth neel|srinidhi shetty|kgf 2 teaser|kgf 2 update|kgf chapter 2|Sanjay Dutt|Raveena Tandon|Prakash Raj|Rocking Star Yash|kgf chapter 2 teaser|kgf|kgf2|kgf 2 kannada|yash kgf|kgf teaser|sanjay dutt adheera|prashant neel|rocky bhai|kgf updates|adheera sanjay dutt|yash birthday|yash movies|kgf chapter 2 trailer|kgf 2 trailer|kgf trailer|yash birthday celebration","146694231","7305734","62946","643394","https://i.ytimg.com/vi/Qah9sSIXJqk/default.jpg","False","False","Here We Go, Glimpse Into An Empire Called KGF and a Glance of Rocky's World.Hombale Films Presents the Official Teaser of KGF Chapter 2.Written and Directed by Prashanth NeelProduced by Vijay KiragandurStarring: Rocking Star Yash, Sanjay Dutt, Srinidhi Shetty, Raveena Tandon, Prakash Raj, Malvika Avinash, Achyuth Kumar, Ayyappa P. Sharma, Rao Ramesh, Eshwari Rao, Archana Jois, T. S. Nagabharana, Saran, Avinash, Lakki Lakshman, Vashishta Simha, Harish Rai, Dinesh Mangalore, Tarak, Ramachandra Raju, Vinay Bidappa, Ashok Sharma, Mohan Juneja, Govinda Gowda, John Kokken, Srinivas MurthyTurn on Subtitles in Your Preferred Language.Director of Photography: Bhuvan GowdaSound Design, Music & Background Score: Ravi BasrurDirection Team: Kirtan Nadagouda, Dhool Prakash, Bhargav N, Prashanth Hosmane, Chandan L, Yuvindraja, Nishanth Varma, Sanjay Muruli Muddenahally, Ghattimutthu Shashidhar, Abhijith Gorachi, Shiva Kumar, Mithilesh Gowda, Akash Thaargar, Akash Rambo, Farman UllahCameraman Team: Sandy, Prajwal Gowda, Kumar Gowda, Sagar Gowda, Manuraj  Still - M G Narayan(Nani)Executive Producer: Karthik Gowda, K. V Rama RaoEditor: Ujwal KulkarniProduction Design: ShivakumarAction: AnbarivChoreography: Harsha, MohanDubbing: Anand Y. SCostume Designer: Yogi G Raj, Sania Sardhariya, Navin Shetty, Ashwin Mawle, Hassan KhanDialogues: Chandramouli.M, Dr. Suri, Prashanth NeelSound Effects: Nanndhu J & TeamProduction Managers: K S Champakadama,Gagan Murthy, S KumarProduction Incharge: Chidanand, Suresh Shankarananhalli, ShashikanthDI & VFX: Unify MediaVFX Supervisor: Konda Reddy SureshColorist: Fergus Hally, AshwathMarketing: Likitha Reddy, Naren Marol, Anil Kumar, Shreya Unchalli, Manoj Shetty, Lakshmi NarayanDigital Media PR: Prasad BhimanadhamArt Department: Venkata Chalapathi, Kiran Kumar, Ramesh, Shankar, Sunil, Deva, Abhi, Shyam, Koti, GouthamFemale Humming Solo Voice: Ananya BhatChorus Singers Batch A: Ravi Basrur, Sachin Basrur, Krishna Basrur, Nagaprakash Kota, Rajesh Kergal, Ramakrishna Basrur, Umesh Karkada, Chethan ChimmanahalliChorus Singers Batch B: Krishna Murthi Basrur, Karthik Madhur, Varadharaj Harman, Nikhil BasrurBhargav Guppi, Bhargav Jogi, Aaron Rahul, Johnson JoshuaMusic Mix & Mastered at : Ravi Basrur Music & Movies Basrur#KGFChapter2 #KGFChapter2Teaser #HombaleFilms #RockingStarYash #KGF2For More Updates:YouTube: https://www.youtube.com/HombaleNinnindale?sub_confirmation=1Facebook: https://www.facebook.com/HombaleFilms/Twitter: https://www.Twitter.com/hombalefilmsInstagram: https://www.instagram.com/hombalefilms"
"lhjRXO72v1s","Must-See New Video Shows Capitol Riot Was Way Worse Than We Thought | All In | MSNBC","2021-01-09T02:37:11Z","UCaXkIU1QidjPwiAYu6GcHjg","MSNBC","25","21.14.01","Republicans|Capitol Hill|White House|Mike Pence|Donald Trump|Best of last night|Electoral College Protests|All In With Chris Hayes|All In|Chris Hayes|MSNBC|MSNBC news|MSNBC live|MSNBC TV|news|US news|politics|politics news|political news|elections|chris hayes live|chris hayes msnbc|us protest|us protest capitol|us protest 2021|us protests news|us protest violent|us protest election 2020|riot at capitol hill|protest at capitol|Capitol hill riots","10958597","173348","23438","72681","https://i.ytimg.com/vi/lhjRXO72v1s/default.jpg","False","False","Chris Hayes: “It is entirely possible that there were people in that crowd, looking to apprehend, possibly harm, and possibly murder the leaders of the political class that the President, and people like Mo Brooks, and even to a certain extent Ted Cruz and Josh Hawley, have told them have betrayed them. Aired on 1/8/2021.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcAbout All In with Chris Hayes:Chris Hayes delivers the biggest news and political stories of the day with a commitment to in-depth reporting that consistently seeks to hold the nation's leaders accountable for their actions. Drawing from his background as a reporter, Hayes at times reports directly from the scene of a news event as it occurs to provide a firsthand account, digging deep and speaking with people who represent different points of view. Hayes brings the nation's officials, legislators, policymakers, and local activists to the table to address key issues affecting communities across America.MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, Meet the Press Daily, The Beat with Ari Melber, Deadline: White House with Nicolle Wallace, Hardball, All In, Last Word, 11th Hour, and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/Instamsnbc#CapitolRiot #Worse #MSNBCMust-See New Video Shows Capitol Riot Was Way Worse Than We Thought | All In | MSNBC"
"VGu2OCS4q8U","Aston Villa v Liverpool | Key Moments | Third Round | Emirates FA Cup 2020-21","2021-01-08T21:51:51Z","UCChcWqwYXCEs657MQ00qVWA","The Emirates FA Cup","17","21.14.01","fa cup|emirates fa cup|fa cup highlights|fa cup third round|third round|emirates fa cup third round|liverpool|aston villa|liverpool vs aston villa|liverpool highlights|aston villa highlights|aston villa 1-4 liverpool|louie barry|sadio mane|mo salah|louie barry goal vs liverpool|aston villa fa cup","1892317","16594","854","1687","https://i.ytimg.com/vi/VGu2OCS4q8U/default.jpg","False","False","A young Aston Villa side hosted Liverpool at Villa Park in the Third Round of the Emirates FA Cup.Follow @EmiratesFACup on Twitter for in-game highlights and match updates!                        https://twitter.com/emiratesfacup                                                Subscribe:                        https://www.youtube.com/thefacup                                                To find out more about The Emirates FA Cup visit:                        TheFA.com/EmiratesFACup                                                The Emirates FA Cup on Facebook:                        https://www.facebook.com/EmiratesFACup/                                                The Emirates FA Cup on Instagram:https://www.instagram.com/emiratesfacup/"
"ImaCbstnQsU","Manchester United v Watford | Key Moments | Third Round | Emirates FA Cup 2020-21","2021-01-09T22:24:29Z","UCChcWqwYXCEs657MQ00qVWA","The Emirates FA Cup","17","21.14.01","manchester united|watford|manchester united highlights|watford highlights|manchester united v watford|fa cup|emirates fa cup|fa cup highlights|fa cup third round|third round|emirates fa cup third round|third round highlights|scott mctominay","1018632","8965","533","458","https://i.ytimg.com/vi/ImaCbstnQsU/default.jpg","False","False","Manchester United host Watford in their Emirates FA Cup third round tie.Follow @EmiratesFACup on Twitter for in-game highlights and match updates!https://twitter.com/emiratesfacupSubscribe:https://www.youtube.com/thefacupTo find out more about The Emirates FA Cup visit:TheFA.com/EmiratesFACupThe Emirates FA Cup on Facebookhttp://www.facebook.com/TheFACup"
"AkDr6tE5cp0","Flight recorders found after Indonesia plane crash | DW News","2021-01-10T11:05:53Z","UCknLrEdhRCp1aegoMqRaCZg","DW News","25","21.14.01","DW News","713216","6727","209","1684","https://i.ytimg.com/vi/AkDr6tE5cp0/default.jpg","False","False","Indonesian search teams have located the black-box flight recorders of a passenger plane that crashed into the Java Sea on Saturday. 62 people were on board the Boeing 737-500 aircraft. Authorities now hope the black box data will clarify why the plane came down only minutes after taking off from Jakarta.Indonesian search and rescue teams are sorting through debris found by divers in the Java Sea. Body parts and children's clothes were among the first items retrieved from the water. Divers also located the plane's black box recorder, confirming the debris is from the missing Boeing 737-500.Still hoping for unlikely good news, the relatives of the 62 people on board meet with authorities, where they hand over DNA to help identify potential victims. The Sriwijaya Air flight left Jakarta airport on Saturday, bound for a 90 minute journey to Pontianak. But it lost contact only minutes after takeoff, data from online service FlightRadar24 shows the plane suddenly losing altitude and speed. Boats will continue to search the ocean, as authorities try to piece together what happened to flight SJ 182. Subscribe: https://www.youtube.com/user/deutschewelleenglish?sub_confirmation=1For more news go to: http://www.dw.com/en/Follow DW on social media:►Facebook: https://www.facebook.com/deutschewellenews/►Twitter: https://twitter.com/dwnews►Instagram: https://www.instagram.com/dwnewsFür Videos in deutscher Sprache besuchen Sie: https://www.youtube.com/channel/deutschewelle#Indonesia #SriwijayaAir #PlaneCrash"
"JpUxQyLCBbk","Hey, Republicans Who Supported This President: Are We Great Again Yet? - LIVE MONOLOGUE","2021-01-07T06:29:13Z","UCMtFAi84ehTSYSE9XoHefig","The Late Show with Stephen Colbert","24","21.14.01","The Late Show|Late Show|Stephen Colbert|Steven Colbert|Colbert|celebrity|celeb|celebrities|late night|talk show|comedian|comedy|CBS|joke|jokes|funny|funny video|funny videos|humor|hollywood|famous","10993456","300528","17872","45085","https://i.ytimg.com/vi/JpUxQyLCBbk/default.jpg","False","False","After the unprecedented assault on democracy that took place in the Capitol Building today, Stephen Colbert kicks off his LIVE monologue with a message for cowardly Republican lawmakers who for five years have coddled the president's fascist rhetoric: there will be a terrible price to pay. #Colbert #ALateShow #MonologueSubscribe To The Late Show Channel HERE: http://bit.ly/ColbertYouTubeFor more content from The Late Show with Stephen Colbert, click HERE: http://bit.ly/1AKISnRWatch full episodes of The Late Show HERE: http://bit.ly/1Puei40Like The Late Show on Facebook HERE: http://on.fb.me/1df139YFollow The Late Show on Twitter HERE: http://bit.ly/1dMzZzGFollow The Late Show on Google+ HERE: http://bit.ly/1JlGgzwFollow The Late Show on Instagram HERE: http://bit.ly/29wfREjFollow The Late Show on Tumblr HERE: http://bit.ly/29DVvtRWatch The Late Show with Stephen Colbert weeknights at 11:35 PM ET/10:35 PM CT. Only on CBS.Get the CBS app for iPhone & iPad! Click HERE: http://bit.ly/12rLxgeGet new episodes of shows you love across devices the next day, stream live TV, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B---The Late Show with Stephen Colbert is the premier late night talk show on CBS, airing at 11:35pm EST, streaming online via CBS All Access, and delivered to the International Space Station on a USB drive taped to a weather balloon. Every night, viewers can expect: Comedy, humor, funny moments, witty interviews, celebrities, famous people, movie stars, bits, humorous celebrities doing bits, funny celebs, big group photos of every star from Hollywood, even the reclusive ones, plus also jokes."
"c6j1l-MICZk","Jimmy Kimmel on Angry Trump Mob Storming the Capitol","2021-01-07T05:08:43Z","UCa6vGFO9ty8v5KZJXQxdhaw","Jimmy Kimmel Live","23","21.14.01","jimmy|jimmy kimmel|jimmy kimmel live|late night|talk show|funny|comedic|comedy|clip|comedian|mean tweets|Pandemic|Coronavirus|COVID-19|Social Distancing|Quarantine|Monologue|Donald Trump|Georgia|Runoff election|POTUS|Mike Pence|Mitch Mcconnell|Jon Ossoff|Kelly Loeffler|2020 Election|Trump Rally|Capitol|Election results|Protest|BLM|Washington DC|Politics|DJTJ|Ted Cruz","8343350","185999","19283","27816","https://i.ytimg.com/vi/c6j1l-MICZk/default.jpg","False","False","Jimmy gives his thoughts on the angry mob of Trump supporters storming the capitol building in Washington D.C. today, Mike Pence shutting down Donald Trump’s request to determine which electoral votes should be counted and which shouldn’t, Senators Ted Cruz, Josh Hawley and others keeping this stolen election charade going, Democrats gaining control of the Senate after a double victory in Georgia’s runoff election, Donald Trump Jr. and Eric Trump going after the Republican establishment, and we revisit Trump’s inauguration speech with the benefit of hindsight. SUBSCRIBE to get the latest #Kimmel: http://bit.ly/JKLSubscribeWatch Mean Tweets: http://bit.ly/KimmelMT10Connect with Jimmy Kimmel Live Online:Visit the Jimmy Kimmel Live WEBSITE: http://bit.ly/JKLWebsiteLike Jimmy Kimmel on FACEBOOK: http://bit.ly/KimmelFBLike Jimmy Kimmel Live on FACEBOOK: http://bit.ly/JKLFacebookFollow @JimmyKimmel on TWITTER: http://bit.ly/KimmelTWFollow Jimmy Kimmel Live on TWITTER: http://bit.ly/JKLTwitterFollow Jimmy Kimmel Live on INSTAGRAM: http://bit.ly/JKLInstagramAbout Jimmy Kimmel Live:Jimmy Kimmel serves as host and executive producer of Emmy®-nominated “Jimmy Kimmel Live!,” ABC’s late-night talk show. “Jimmy Kimmel Live!” is well known for its huge viral video successes, with over 11 billion views and more than 15 million subscribers on the show’s YouTube channel. Some of Kimmel’s most popular comedy bits include “Celebrities Read Mean Tweets,” “Lie Witness News,” “Unnecessary Censorship,” “Halloween Candy YouTube Challenge,” and music videos like “I (Wanna) Channing All Over Your Tatum.”"
"8ScCLfGGOPY","Cobra - Official Teaser | Chiyaan Vikram | AR Rahman | R Ajay Gnanamuthu | 7 Screen Studio","2021-01-09T05:02:34Z","UCn4rEMqKtwBQ6-oEwbd4PcA","Sony Music South","10","21.14.01","Sony Music South|Sony Music|Latest Song|Tamil song|Tamil Latest Song|Tamil Latest Songs 2018|Tamil Latest Songs 2019|Latest songs in Tamil|Songs in Tamil|Latest Tamil Movies|Tamil Movie Songs|Latest Video Songs Tamil|latest Tamil Love Songs|Latest Tamil Hit Songs|Thumbi Thullal|corbra tamil songs|Rahman songs|rahman tamil songs|vikram vikram tamil songs|cora teaser|cobra trailer|cobra songs","12545384","804831","11500","35746","https://i.ytimg.com/vi/8ScCLfGGOPY/default.jpg","False","False","A world of numbers and the genius #ChiyaanVikram! Loaded with all things intriguing , presenting the #CobraTeaser. Directed by Ajay Gnanamuthu this action-packed thriller has music by AR Rahman!Watch the official Tamil teaser and enjoy!7 Screen Studio presents The Official Teaser of Cobra (Language : Tamil)Starring : Chiyaan Vikram, Srinidhi Shetty, Irfan Pathan, K.S. Ravikumar, Roshan Mathew, Anandraj, Robo Shankar, Mia George, Mirnalini Ravi, Meenakshi Govindrajan and othersDirected by R. Ajay Gnanamuthu Produced by S.S. Lalit KumarMusic - A. R. Rahman  Edit - Bhuvan SrinivasanDOP - Harish KannanProduction Design - A AmaranAction Choreography - Dhilip SubbarayanDance Choreography - Satish KrishnanAudiography - Tapas NayakCo Writers - Neelan K Shekar, Kannan Sreevasthan, Innasi Pandiyan, Bharath KrishnamachariCostumes - Komal Shahani, Navadevi RajkumarLyrics - Thamarai, Pa. Vijay, VivekVFX supervisor - H. MoneshChief co Director - Mugesh SharmaCo Directors - Venkatesh VS, VG BalasubramanianExecutive Producer - Ramkumar BalasubramanianProduction Manager - RS Venkat, M KasilingamMake up Preethisheel Singh, Karandeep SinghSound Design - Sync CinemasCG - Unify MediaDI - IgeneStills - D NarendranPRO - YuvarajPublicity Design - KabilanMusic additional programming Nakul Abhyankar Sound engineers Suresh Permal , Karthik Sekaran Music mixed by Nakul Abhyankar , Suresh PermalMusic Label - Sony Music Entertainment India Pvt. Ltd.© 2021 Sony Music Entertainment India Pvt. Ltd.Subscribe Now: http://bit.ly/SonyMusicSouthVevoSubscribe Now: http://bit.ly/SonyMusicSouthYTFollow us: https://www.instagram.com/sonymusic_south/Follow us: Twitter: https://twitter.com/SonyMusicSouthLike us: Facebook: https://www.facebook.com/SonyMusicSouth"
"z3szNvgQxHo","(여자)아이들((G)I-DLE) - '화(火花)(HWAA)' Official Music Video","2021-01-11T09:00:14Z","UCritGVo7pLJLUS8wEu32vow","(G)I-DLE (여자)아이들 (Official YouTube Channel)","10","21.14.01","kpop|gidle|(여자)아이들|(G)I-DLE|IDLE|여자아이들|아이들|미연|민니|수진|소연|우기|슈화|MIYEON|MINNIE|SOOJIN|SOYEON|YUQI|SHUHUA|큐브|CUBE","20113870","767377","21550","119913","https://i.ytimg.com/vi/z3szNvgQxHo/default.jpg","False","False","(여자)아이들((G)I-DLE) - '화(火花)(HWAA)' Official Music VideoComposed by 소연, Pop TimeLyrics by 소연Arranged by Pop Time, 소연차디찬 한겨울이 덮친 듯시간은 다 얼어버리고잔인한 그 바람이 남긴 듯한어둠은 더 깊어 버리고벗어나리오끝없이 펼쳐진 기약 없는 계절을지워내리오뜨겁지 못한 날들에 홀로 데인 흉터를큰불을 내리오이 내 안에 눈물이 더는 못 살게난 화를 내리오 더 화를 내리오잃었던 봄을 되찾게차갑게 부는 바람이 눈이 하얗게 덮인 마음이아침이 오면 부디 모두 녹을 수 있게불을 지펴라화 火타올라 타올라화 火꽃피우리라화 火타올라 타올라화 火꽃피우리라내 너의 흔적 남지 않게 하리못다 한 원망도 훨훨 타리쓸쓸한 추위를 거둬 가길남겨진 시들은 꽃길을 즈려 밟지한을 풀리라 다시금 봄을 누리라추억은 모조리 불이 나 거름이 돼찬란한 꽃을 피우리라난 화를 내리오 더 화를 내리오잃었던 봄을 되찾게차갑게 부는 바람이 눈이 하얗게 덮인 마음이아침이 오면 부디 모두 녹을 수 있게불을 지펴라화 火타올라 타올라화 火꽃피우리라화 火타올라 타올라화 火꽃피우리라끊어진 인연의 미련을 품에 안고시렸던 시간을 나를 태워간다 화화 花화 花불을 지펴라꽃피우리라(G)I-DLE Official YouTube: http://www.youtube.com/gidleofficial(G)I-DLE Official Twitter: https://twitter.com/G_I_DLE(G)I-DLE Official Facebook: https://facebook.com/G.I.DLE.CUBE(G)I-DLE Official Instagram: https://instagram.com/official_g_i_dle(G)I-DLE Official Weibo: http://weibo.com/cubegidle(G)I-DLE Official Fansite: https://www.united-cube.comⓒ All Rights Reserved CUBE Entertainment Inc.#여자아이들 #GIDLE #HWAA"
"WAMMiCe35-Y","A Terrified President Throws His Riot Mob Under A Bus To Save His Neck (And Get Back On Twitter)","2021-01-08T04:53:05Z","UCMtFAi84ehTSYSE9XoHefig","The Late Show with Stephen Colbert","24","21.14.01","The Late Show|Late Show|Stephen Colbert|Steven Colbert|Colbert|celebrity|celeb|celebrities|late night|talk show|comedian|comedy|CBS|joke|jokes|funny|funny video|funny videos|humor|hollywood|famous","8145571","184157","8499","27917","https://i.ytimg.com/vi/WAMMiCe35-Y/default.jpg","False","False","Facing threats of impeachment, and with calls for his resignation coming from even the conservative Wall Street Journal editorial board, the president on Thursday released a video in which he unconvincingly condemned the insurrection he incited, and begrudgingly admitted that a new administration would take office following an orderly transition of power on January 20th. #Colbert #ALateShow #MonologueSubscribe To The Late Show Channel HERE: http://bit.ly/ColbertYouTubeFor more content from The Late Show with Stephen Colbert, click HERE: http://bit.ly/1AKISnRWatch full episodes of The Late Show HERE: http://bit.ly/1Puei40Like The Late Show on Facebook HERE: http://on.fb.me/1df139YFollow The Late Show on Twitter HERE: http://bit.ly/1dMzZzGFollow The Late Show on Google+ HERE: http://bit.ly/1JlGgzwFollow The Late Show on Instagram HERE: http://bit.ly/29wfREjFollow The Late Show on Tumblr HERE: http://bit.ly/29DVvtRWatch The Late Show with Stephen Colbert weeknights at 11:35 PM ET/10:35 PM CT. Only on CBS.Get the CBS app for iPhone & iPad! Click HERE: http://bit.ly/12rLxgeGet new episodes of shows you love across devices the next day, stream live TV, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B---The Late Show with Stephen Colbert is the premier late night talk show on CBS, airing at 11:35pm EST, streaming online via CBS All Access, and delivered to the International Space Station on a USB drive taped to a weather balloon. Every night, viewers can expect: Comedy, humor, funny moments, witty interviews, celebrities, famous people, movie stars, bits, humorous celebrities doing bits, funny celebs, big group photos of every star from Hollywood, even the reclusive ones, plus also jokes."
