video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"erYPvNbc_mc","Hello world . From Jennie","2021-01-16T03:00:13Z","UCNYi_zGmR519r5gYdOKLTjQ","Jennierubyjane Official","22","21.19.01","BLACKPINK|JENNIE|제니|블랙핑크","14003481","2120416","22693","257430","https://i.ytimg.com/vi/erYPvNbc_mc/default.jpg","False","False","Original Music by Mandy Moore - When Will My Life Begin?Cover by Jennie#HelloWorld #FromJennie #20210116"
"IRWM6MmWHH8","We’re Married! by Alex Gonzaga","2021-01-17T04:09:56Z","UC6N-9Wh0DYhDI8sQS7jwjVA","Alex Gonzaga Official","22","21.19.01","Alex gonzaga|Alex g|Alex g vlogs|Alex boyfriend|Alex fiancè|Mikee Morada|Alex Mikee|Wedding|Announcement|Big announcement|Celebration|Covid|Quarantine wedding|Married|Tied the knot|Nuptial|Wedding vlog|Youtuber wedding|Toni gonzaga|Gonzaga family|Morada|Misis|Lipa|Taytay|Celebrity wedding|We got married|Same day edit|Inlove|Official|Mr and mrs","6687809","602627","2817","41777","https://i.ytimg.com/vi/IRWM6MmWHH8/default.jpg","False","False","Millenial Misis na ko!! 😂 By God’s grace hoping to have a big wedding where we can celebrate with friends and whole family this year. Suppliers:Video: Bob NicolasPhoto: My Metro PhotoCoord: Christine Ong TeDress: Rajo LaurelSet up: Mamang Badang RuedaMake up: Denise Go OchoaHair: Jerry Buan JavierStyling: Cath SobrevegaGroom: Mr and Mrs MoradaFor business please contact me!Email: misscathygonzaga@gmail.comFollow me!FB: https://www.facebook.com/MsCathyGonzaga/Twitter: https://twitter.com/MscathygonzagaInstagram: https://www.instagram.com/cathygonzaga/"
"OF3nufrOO4Y","(ENGLISH) M2 Group Stage Phase 1 - Day 1 | MLBB World Championship 2020 | Singapore","2021-01-18T14:34:40Z","UCqmld-BIYME2i_ooRTo1EOg","Mobile Legends: Bang Bang","20","21.19.01","MobileLegends","1613788","24848","748","169","https://i.ytimg.com/vi/OF3nufrOO4Y/default.jpg","False","False","#M2 is finally here! 🙌 Don’t miss out as the teams in Groups A and B begin their journey towards being crowned the best in the world! 💥 🎖️ Group A: Burmese Ghouls 🇲🇲, RSG 🇸🇬, Unique DeVu 🇷🇺🎖️ Group B: Todak Mlbb 🇲🇾, Omega Esports 🇵🇭, Impunity Cambodia 🇰🇭Who do you think will seize their upper bracket slots first? 🧐#MLBB #MobileLegends #MLBBEsports #MobileEsports #JointheFight #VisitSingapore"
"CzSy_1B1T0Q","【主播出任務∣世界岳來岳盧】20210117大陸經濟復甦，川普下台，局勢詭譎！蔡英文挺川普血本無歸？","2021-01-17T13:00:12Z","UCpu3bemTQwAU8PqM4kJdoEQ","中天新聞","25","21.19.01","中天新聞直播|中天新聞|新聞|政治|娛樂|生活|消費|國際|兩岸|社會|地方|飲食|健康|影視|體育|科技|新奇|人文|藝術|直播","375687","17229","521","1052","https://i.ytimg.com/vi/CzSy_1B1T0Q/default.jpg","False","False","主播出任務－全球華人聚焦，帶您一窺天下事。主持人：主播 盧秀芳主題：大陸經濟復甦，川普下台，詭譎局勢？蔡英文血本無歸？特別來賓：國家與國際事務專家 賴岳謙教授⏩節目內容大綱：●交接前之亂，川普黑了！團隊跳船秀龐培歐的謊.騙.狡.詐●挺過新冠肺炎，大陸經濟復甦，國際情勢瞬變？●詭交易！進核食私下密商？●最貴台鐵局長畢業禮物，年虧32億卻砸884萬出書自捧#大陸經濟  #川普  #核食 #新冠肺炎 #拜登 ⏩更多《主播出任務》請看https://reurl.cc/4mkGeV►►►歡迎訂閱【中天電視】YouTube頻道家族◄◄◄《24小時中天新聞直播》https://youtu.be/9pWXAEZ5NLs《大新聞大爆卦》https://reurl.cc/x0zybN《頭條開講》https://reurl.cc/Y6Z2AD《正常發揮》https://reurl.cc/KjVman《新聞龍捲風》https://reurl.cc/bR1LOv"
"Qah9sSIXJqk","KGF Chapter2 TEASER |Yash|Sanjay Dutt|Raveena Tandon|Srinidhi Shetty|Prashanth Neel|Vijay Kiragandur","2021-01-07T15:57:35Z","UCarJoVXH0T2pdtcHBu9J8Bw","Hombale Films","24","21.19.01","Hombale films|hombale|hombale films kannada|hombale films kgf 2|kgf 2|yash|prashanth neel|srinidhi shetty|kgf 2 teaser|kgf 2 update|kgf chapter 2|Sanjay Dutt|Raveena Tandon|Prakash Raj|Rocking Star Yash|kgf chapter 2 teaser|kgf|kgf2|kgf 2 kannada|yash kgf|kgf teaser|sanjay dutt adheera|prashant neel|rocky bhai|kgf updates|adheera sanjay dutt|yash birthday|yash movies|kgf chapter 2 trailer|kgf 2 trailer|kgf trailer|yash birthday celebration","157058053","7704339","73388","670950","https://i.ytimg.com/vi/Qah9sSIXJqk/default.jpg","False","False","Here We Go, Glimpse Into An Empire Called KGF and a Glance of Rocky's World.Hombale Films Presents the Official Teaser of KGF Chapter 2.Written and Directed by Prashanth NeelProduced by Vijay KiragandurStarring: Rocking Star Yash, Sanjay Dutt, Srinidhi Shetty, Raveena Tandon, Prakash Raj, Malvika Avinash, Achyuth Kumar, Ayyappa P. Sharma, Rao Ramesh, Eshwari Rao, Archana Jois, T. S. Nagabharana, Saran, Avinash, Lakki Lakshman, Vashishta Simha, Harish Rai, Dinesh Mangalore, Tarak, Ramachandra Raju, Vinay Bidappa, Ashok Sharma, Mohan Juneja, Govinda Gowda, John Kokken, Srinivas MurthyTurn on Subtitles in Your Preferred Language.Director of Photography: Bhuvan GowdaSound Design, Music & Background Score: Ravi BasrurDirection Team: Kirtan Nadagouda, Dhool Prakash, Bhargav N, Prashanth Hosmane, Chandan L, Yuvindraja, Nishanth Varma, Sanjay Muruli Muddenahally, Ghattimutthu Shashidhar, Abhijith Gorachi, Shiva Kumar, Mithilesh Gowda, Akash Thaargar, Akash Rambo, Farman UllahCameraman Team: Sandy, Prajwal Gowda, Kumar Gowda, Sagar Gowda, Manuraj  Still - M G Narayan(Nani)Executive Producer: Karthik Gowda, K. V Rama RaoEditor: Ujwal KulkarniProduction Design: ShivakumarAction: AnbarivChoreography: Harsha, MohanDubbing: Anand Y. SCostume Designer: Yogi G Raj, Sania Sardhariya, Navin Shetty, Ashwin Mawle, Hassan KhanDialogues: Chandramouli.M, Dr. Suri, Prashanth NeelSound Effects: Nanndhu J & TeamProduction Managers: K S Champakadama,Gagan Murthy, S KumarProduction Incharge: Chidanand, Suresh Shankarananhalli, ShashikanthDI & VFX: Unify MediaVFX Supervisor: Konda Reddy SureshColorist: Fergus Hally, AshwathMarketing: Likitha Reddy, Naren Marol, Anil Kumar, Shreya Unchalli, Manoj Shetty, Lakshmi NarayanDigital Media PR: Prasad BhimanadhamArt Department: Venkata Chalapathi, Kiran Kumar, Ramesh, Shankar, Sunil, Deva, Abhi, Shyam, Koti, GouthamFemale Humming Solo Voice: Ananya BhatChorus Singers Batch A: Ravi Basrur, Sachin Basrur, Krishna Basrur, Nagaprakash Kota, Rajesh Kergal, Ramakrishna Basrur, Umesh Karkada, Chethan ChimmanahalliChorus Singers Batch B: Krishna Murthi Basrur, Karthik Madhur, Varadharaj Harman, Nikhil BasrurBhargav Guppi, Bhargav Jogi, Aaron Rahul, Johnson JoshuaMusic Mix & Mastered at Ravi Basrur Music & Movies Basrur#KGFChapter2 #KGFChapter2Teaser #HombaleFilms #RockingStarYash #KGF2For More Updates:YouTube: http://youtube.com/hombalefilmsFacebook: https://www.facebook.com/HombaleFilms/Twitter: https://www.Twitter.com/hombalefilmsInstagram: https://www.instagram.com/hombalefilms"
"lvV3jSLYK8A","Samsung Galaxy S21 Ultra Impressions: Redemption Time!","2021-01-14T15:01:11Z","UCBJycsmduvYEL83R_U4JriQ","Marques Brownlee","28","21.19.01","Galaxy S21 Ultra|S21 Ultra|S21|Ultra|Impressions|unboxing|review|preview|MKBHD|hands on|Galaxy S21 ultra hands on|Galaxy S21 camera|S21 ultra camera","5507351","200712","4552","17709","https://i.ytimg.com/vi/lvV3jSLYK8A/default.jpg","False","False","Galaxy S21 Ultra makes some tweaks and drops the price! Here'a first look.S21/S21+ Impressions: https://youtu.be/wUBy2W1iKpoMKBHD Merch: http://shop.MKBHD.comTech I'm using right now: https://www.amazon.com/shop/MKBHDIntro Track: Filet Mignon by AllttaPlaylist of MKBHD Intro music: https://goo.gl/B3AWV5~http://twitter.com/MKBHDhttp://instagram.com/MKBHDhttp://facebook.com/MKBHD"
"ZmDBbnmKpqQ","Olivia Rodrigo - drivers license (Official Video)","2021-01-08T05:00:22Z","UCxE5jEls-T0QtlTHT8lI1lw","OliviaRodrigoVEVO","10","21.19.01","Olivia|Rodrigo|drivers|license|Pop","44448624","3015296","28627","125402","https://i.ytimg.com/vi/ZmDBbnmKpqQ/default.jpg","False","False","Listen to ‘drivers license’ out now: https://smarturl.it/driverslicenseFollow Olivia Rodrigo:Instagram: https://instagram.com/olivia.rodrigoTwitter: https://twitter.com/Olivia_RodrigoFacebook: https://www.facebook.com/OliviaRodrigoOfficialYouTube: https://youtube.com/oliviarodrigomusicTikTok: https://tiktok.com/@livbedumbStore: https://smarturl.it/oliviarodrigoshopMusic video by Olivia Rodrigo performing drivers license. © 2021 Olivia Rodrigo, under exclusive license to Geffen Records"
"lhjRXO72v1s","Must-See New Video Shows Capitol Riot Was Way Worse Than We Thought | All In | MSNBC","2021-01-09T02:37:11Z","UCaXkIU1QidjPwiAYu6GcHjg","MSNBC","25","21.19.01","Republicans|Capitol Hill|White House|Mike Pence|Donald Trump|Best of last night|Electoral College Protests|All In With Chris Hayes|All In|Chris Hayes|MSNBC|MSNBC news|MSNBC live|MSNBC TV|news|US news|politics|politics news|political news|elections|chris hayes live|chris hayes msnbc|us protest|us protest capitol|us protest 2021|us protests news|us protest violent|us protest election 2020|riot at capitol hill|protest at capitol|Capitol hill riots","12431142","187828","27604","80352","https://i.ytimg.com/vi/lhjRXO72v1s/default.jpg","False","False","Chris Hayes: “It is entirely possible that there were people in that crowd, looking to apprehend, possibly harm, and possibly murder the leaders of the political class that the President, and people like Mo Brooks, and even to a certain extent Ted Cruz and Josh Hawley, have told them have betrayed them. Aired on 1/8/2021.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcAbout All In with Chris Hayes:Chris Hayes delivers the biggest news and political stories of the day with a commitment to in-depth reporting that consistently seeks to hold the nation's leaders accountable for their actions. Drawing from his background as a reporter, Hayes at times reports directly from the scene of a news event as it occurs to provide a firsthand account, digging deep and speaking with people who represent different points of view. Hayes brings the nation's officials, legislators, policymakers, and local activists to the table to address key issues affecting communities across America.MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, Meet the Press Daily, The Beat with Ari Melber, Deadline: White House with Nicolle Wallace, Hardball, All In, Last Word, 11th Hour, and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/Instamsnbc#CapitolRiot #Worse #MSNBCMust-See New Video Shows Capitol Riot Was Way Worse Than We Thought | All In | MSNBC"
"47yfpGOK2cY","Mushoku Tensei jobless reincarnation - Episode 02 [English Sub]","2021-01-17T16:30:10Z","UCGbshtvS9t-8CW11W7TooQg","Muse Asia","1","21.19.01","Mushoku Tensei|jobless reincarnation|isekai|another world|fantasy|理不尽な孫の手|内山夕実|杉田智和|小原好美|加隈亜衣|茅野愛衣|森川智之|金元寿子|Lynn|浪川大輔|スタジオバインド|free|anime|museasia|musesg","880887","41134","444","6510","https://i.ytimg.com/vi/47yfpGOK2cY/default.jpg","False","False","For Official Anime Merchandise, please visit: https://www.hakkenonline.com/English Full Episode Playlist: https://www.youtube.com/playlist?list=PLwLSw1_eDZl01_ftoIT3birJWkpxFZkEl简体中文字幕播放清单: https://www.youtube.com/playlist?list=PLwLSw1_eDZl3CTtvQNN8xZWqCpsdZllpQMushoku Tensei jobless reincarnation无职转生～到了异世界就拿出真本事～===========Episode 02 : MasterEpisode Summary : Showing his talent in magic when he's only 3 years old, Rudeus's family hires him a tutor. Master Roxy, the surly loli with scornful eyes. With her magic lessons, Rudeus's magic is developing rapidly. Time flies, and one day Roxy holds an exam for Rudeus. However, Rudeus needs to overcome his trauma from beforelife for this exam. ===========2021 winter anime ongoing!*｡☆Weekly Updates at 00:30 every Monday ☆。*ﾟFree Anime Streaming Online on Muse Asia Channel!Be sure to subscribe to our channel so you won't miss the latest Anime!For more information, connect with us on:Website: http://www.e-muse.com.sg Instagram: @musesg_Youtube: http://bit.ly/2YYA4rj#Mushoku_Tensei #jobless_reincarnation #isekai #another_world #fantasy #理不尽な孫の手 #内山夕実 #杉田智和 #小原好美 #スタジオバインド #free #anime #museasia #musesg"
"z3szNvgQxHo","(여자)아이들((G)I-DLE) - '화(火花)(HWAA)' Official Music Video","2021-01-11T09:00:14Z","UCritGVo7pLJLUS8wEu32vow","(G)I-DLE (여자)아이들 (Official YouTube Channel)","10","21.19.01","kpop|gidle|(여자)아이들|(G)I-DLE|IDLE|여자아이들|아이들|미연|민니|수진|소연|우기|슈화|MIYEON|MINNIE|SOOJIN|SOYEON|YUQI|SHUHUA|큐브|CUBE","41379851","929740","30334","155392","https://i.ytimg.com/vi/z3szNvgQxHo/default.jpg","False","False","(여자)아이들((G)I-DLE) - '화(火花)(HWAA)' Official Music VideoComposed by 소연, Pop TimeLyrics by 소연Arranged by Pop Time, 소연차디찬 한겨울이 덮친 듯시간은 다 얼어버리고잔인한 그 바람이 남긴 듯한어둠은 더 깊어 버리고벗어나리오끝없이 펼쳐진 기약 없는 계절을지워내리오뜨겁지 못한 날들에 홀로 데인 흉터를큰불을 내리오이 내 안에 눈물이 더는 못 살게난 화를 내리오 더 화를 내리오잃었던 봄을 되찾게차갑게 부는 바람이 눈이 하얗게 덮인 마음이아침이 오면 부디 모두 녹을 수 있게불을 지펴라화 火타올라 타올라화 火꽃피우리라화 火타올라 타올라화 火꽃피우리라내 너의 흔적 남지 않게 하리못다 한 원망도 훨훨 타리쓸쓸한 추위를 거둬 가길남겨진 시들은 꽃길을 즈려 밟지한을 풀리라 다시금 봄을 누리라추억은 모조리 불이 나 거름이 돼찬란한 꽃을 피우리라난 화를 내리오 더 화를 내리오잃었던 봄을 되찾게차갑게 부는 바람이 눈이 하얗게 덮인 마음이아침이 오면 부디 모두 녹을 수 있게불을 지펴라화 火타올라 타올라화 火꽃피우리라화 火타올라 타올라화 火꽃피우리라끊어진 인연의 미련을 품에 안고시렸던 시간을 나를 태워간다 화화 花화 花불을 지펴라꽃피우리라(G)I-DLE Official YouTube: http://www.youtube.com/gidleofficial(G)I-DLE Official Twitter: https://twitter.com/G_I_DLE(G)I-DLE Official Facebook: https://facebook.com/G.I.DLE.CUBE(G)I-DLE Official Instagram: https://instagram.com/official_g_i_dle(G)I-DLE Official Weibo: http://weibo.com/cubegidle(G)I-DLE Official Fansite: https://www.united-cube.comⓒ All Rights Reserved CUBE Entertainment Inc.#여자아이들 #GIDLE #HWAA"
