,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
140,TX86yD440bc,"Disneyland Paris - En 2021, il est temps de rêver plus fort encore ✨",2020-12-31T23:00:14Z,UC1t74cS15eURW0YCpsRaDuw,Disneyland Paris,19,21.11.01,Disneyland Paris|disney|disneyland|paris|bonne|année|bonne année|2021|Happy|New|Year|Happy New Year|nieuwjaar|anguri|feliz año nuevo|Feliz Ano Novo|Walt Disney|happy new year 2021|marvel|frozen|reine des neiges|happy 2021|new year|yt:cc=on|walt disney|2020|castle|dream|rêve,254935,5622,60,277,https://i.ytimg.com/vi/TX86yD440bc/default.jpg,False,False,Toutes les équipes de Disneyland Paris vous souhaitent une bonne et heureuse année et vous font part de leurs meilleurs vœux pour cette année 2021. Une nouvelle année pour recommencer à croire en vos rêves.Rejoignez-nous ! https://www.youtube.com/user/disneylandparis/?sub_confirmation=1 ET cliquez sur la cloche 🔔 pour être informé des dernières vidéos mises en ligne ! ℹ️ https://www.disneylandparis.com/fr-fr/ Suivez nous sur... YouTube ► https://www.youtube.com/user/disneylandparis/?sub_confirmation=1Website ► https://www.disneylandparis.com/fr-fr/ Facebook ► https://fr-fr.facebook.com/DisneylandParisfr/ Twitter ► https://twitter.com/disneylandparis Instagram ► https://www.instagram.com/disneylandparis/#DisneylandParis #HappyNewYear #2021
142,Vs27N9v04gc,The Mandem's Whatsapp Group Buy A Bando In Croydon | Home Under The Hammer time,2021-01-05T19:50:44Z,UCzR6TFzq7UwZbGEGoS2RGow,Mo Gilligan,22,21.11.01,[none],149235,7166,89,444,https://i.ytimg.com/vi/Vs27N9v04gc/default.jpg,False,False,Homes Under The Hammer Time Is back back for 2021. (Sorry for the wait)Mo Gilligan brings his Homes Under the Hammer reaction videos to Youtube.Welcome to the official channel for Mo Gilligan Be sure to subscribe so you can stay up to date with Mo’s journey behind the scenes and check out his podcastFollow Mo on Twitter/Instagram: https://twitter.com/mothecomedian | https://www.instagram.com/mothecomedian/Like the page on Facebook: https://www.facebook.com/mogilligan/Join the Mo Gilligan mailing list on www.mogilligan.com for updates on shows and events.
154,DUvMy0fLVI4,WE'VE MOVED IN TOGETHER / EMPTY APARTMENT TOUR,2021-01-05T16:11:02Z,UCMOTCjsUTvu_O4Rj1i06VtA,Misha Grimes,26,21.11.01,empty flat|empty flat tour|empty apartment|empty apartment tour|apartment tour|misha grimes|flat tour|tour|house tour|moving house|moving|moving with my boyfriend,92537,3837,112,441,https://i.ytimg.com/vi/DUvMy0fLVI4/default.jpg,False,False,AHHHHH hello everyone & welcome to the most exciting and crazy adventure me & Jake are about to embark on because WE HAVE MOVED IN TOGETHER!! AHHHHHH So we thought we would kick things off with an EMPTY APARTMENT TOUR & I hope you guys enjoy xox -TOP REQUESTED ITEMS-EQUITMENT - CAMERA * https://rstyle.me/+vpZ9wTrkRasWo1ZM4ORMRARING LIGHT * https://rstyle.me/+lFxUu2iNyhsHgfLy-QimBAPHONE RING LIGHT & STAND * https://rstyle.me/+uWMoaoerF0bmCIxsvNxzzwAPPLE WATCH * https://rstyle.me/+1KjbsTBCxKqDtMSB8co_YQLAPTOP * https://rstyle.me/+DvD1DwUkGnSG-uN6UDDKfAEDITING SOFTWARE - FINAL CUT PRO - EVERDAY MAKEUP - FOUNDATION * https://rstyle.me/+cI459m8EpfCLOksmgct0TgCONCELAR * https://rstyle.me/+t3tx0eiEK9uOf-bF2uMYZwBEST MASCARA * https://rstyle.me/+duRCE47qqxy0l-pq5vrGFw BRONZER (in shade Give me Sun) * https://rstyle.me/+nugKJOYYpA5olryBA-7B_A SUBSCRIBE to my channel: https://www.youtube.com/channel/UCMOTCjsUTvu_O4Rj1i06VtAINSTAGRAM: https://www.instagram.com/misha_grimes/TIK TOK - https://vm.tiktok.com/ZSQdkQRd/PODCAST - https://open.spotify.com/show/2ecozfpvhZhTU1i1ataE6iEMAIL: mishagsocial@hotmail.com
157,aTLPHmrr-cM,Something we want to tell you!,2021-01-04T18:43:10Z,UCHUE4ypXKp7ZkmdWbGJNgJg,AmazingPhil,22,21.11.01,dan and phil|dan and phil 2021|life update|life|update|phil lester|daniel howell|stereo|amazingphil|amazing|phil|future|the future|plans|house|dan and phil house|dan and phil moving|dan and phil new house|british|fun|hangout|christmas presents|viewers|hair|book|you will get through this night|projects|dan book|percy pigs|percy pog,2124460,203445,1331,15970,https://i.ytimg.com/vi/aTLPHmrr-cM/default.jpg,False,False,"Where has Dan been?! What are our future plans? The TRUTH IS REVEALED! Download Stereo and follow me and listen to the after party at 9PM! http://stereo.com/AmazingPhil (Stereo is an age 18 and over app) thanks to Stereo for this paid promotion!A big Dan and Phil catchup! Like a mukbang but with no gross eating sounds. Pre-Order Dan's book! https://www.danandphilshop.com/collections/newest/products/pre-order-you-will-get-through-this-night-with-free-art-card comes with a FREE art card and bookmark!Follow Dan:http://twitter.com/danielhowellhttp://instagram.com/danielhowellhttp://youtube.com/danisnotonfireFollow me:http://twitter.com/amazingphilhttp://instagram.com/amazingphilhttp://facebook.com/amazingphilhttp://amazingphil.tumblr.comCOMBINED FESTIVE SHOP - http://www.danandphilshop.comMusic: Kevin Macleod- Incompetech.comEmotional yoga picture by https://possumnest.tumblr.com/post/638951499766104064/you-need-to-turn-the-track-to-the-next-one-nowThanks again to Echo for providing the screen recording!! Community Captions: https://amara.org/en/videos/LVf4wuEBdTY9/info/something-we-want-to-tell-you/?team= THANKS to Pelin, Anna V, Mirian R, Ashely R, Annabel P, Anya V, Annika S, lunaa!! Much appreciated.Thanks to everyone for all the love you have given Phil and Phriends! Watch the full playlist here: https://www.youtube.com/watch?v=YpRozmtU00M&list=PLNq4xYUMjoQCQNc2THE7-r84J4WHtlBtf"
159,PN_1jWeLf2c,Ribs in a CORN DOG!! #shorts,2021-01-04T00:48:23Z,UC_pT_Iz6XjuM-eMTlXghdfw,Max the Meat Guy,22,21.11.01,corn dog|ribs|carnival food|fun new food to try|max the meat guy|max the meat guy tiktok|maxthemeatguy tiktok|fall off the bone ribs,404926,13389,475,488,https://i.ytimg.com/vi/PN_1jWeLf2c/default.jpg,False,False,Ribs in a CORN DOG!! #shorts🔔 Subscribe and ring the bell to get notified when we post a video!🔥Social Media🔥🎬  Main Channel: https://youtube.com/c/maxthemeatguy📸  Instagram: www.Instagram.com/MaxtheMeatGuy🎥  TikTok: https://www.tiktok.com/@maxthemeatguy📬  Facebook: https://www.facebook.com/MaxTheMeatGuy🎊  Pinterest: https://www.pinterest.com/maxthemeatguy/..🖥 Recipe on my Website: www.maxthemeatguy.com🌳 LinkTree w/ Discounts: https://linktr.ee/maxthemeatguy🎶 Instrumental Hip Hop Beats Crew: I’m a Boss..#shorts #ribs #corndog #maxthemeatguy
165,mdf0D-3kH_0,I'm leaving Funhaus... Sort of.,2021-01-05T21:58:46Z,UC0-oj8XzwSjUEQiOJOiVFPw,jon smiff,22,21.11.01,funhaus|rooster teeth|moving on|alanah pearce|bruce greene|lawrence sontagg|elyse willems|james willems|jon smiff|smiff|mr riddles|trendblaster|demo disk|wheelhaus|korea|south korea|video editing|after effects|premiere|gary busey,198464,16386,243,1457,https://i.ytimg.com/vi/mdf0D-3kH_0/default.jpg,False,False,or am i???buy some merch: https://pizzaposse.comcome hang out: https://twitch.tv/jonsmiffmusic provided by lofi geekhttps://www.youtube.com/channel/UCyD59CI7beJDU493glZpxgAhttps://spoti.fi/3dTH2FN
173,cfykWkilSQ8,Markiplier Isn't Real,2021-01-04T20:19:14Z,UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,22,21.11.01,markiplier isn't real,4533514,426609,3702,39317,https://i.ytimg.com/vi/cfykWkilSQ8/default.jpg,False,False,I'm leaving for a week. Also I'm not real.
177,fWdbo0i8v9g,Get Abs & Flat Stomach Workout | Flat Stomach Challenge 2021,2021-01-04T12:00:13Z,UCCgLoMYIyP0U56dEhEL1wXQ,Chloe Ting,26,21.11.01,abs|abs workout|abs exercise|lower abs workout|intense ab workout|10 minute abs|flat belly exercise|flat belly workout|abs workout program|abs program|workout|exercise|flat stomach|flat tummy|female abs|female six pack|how to get abs|sexy abs|girl abs|quick way to get abs|get abs quick|abs fast|10 mins workout|abs challenge|chloe ting abs|abs chloe|chloe abs|flat stomach workout|flat stomach exercise|how to get flat stomach|abs routine,1803936,59840,970,3715,https://i.ytimg.com/vi/fWdbo0i8v9g/default.jpg,False,False,"Time to work those abs! Check out my Flat Stomach Challenge. We've got 8 brand new episodes in this 28 days program. Please smash that like button for me, and drop a comment below with how you go each day.✚ Free Program Schedulehttps://www.chloeting.com/program/2021/flat-stomach-challenge.htmlNew Warm Up Routine - https://youtu.be/j6C-6F6dr-4Ep 1 - Full Body - https://youtu.be/CPI_Ve7vsHsEp 2 - Abs - https://youtu.be/fWdbo0i8v9gEp 3 - Upper Body -  https://youtu.be/iN-AEOs9rzcEp 4 - Booty - 7th JanEp 5 - HIIT - 11th JanEp 6 - Lower Abs - 13th JanCooldown - TBA✚ Sponsor this channelhttps://www.youtube.com/chloeting/joinSub to my 2nd channelhttps://www.youtube.com/channel/UCBrcDabYtwbR1VIhwH5efZA?sub_confirmation=1✚ My linkshttps://www.instagram.com/chloe_t/https://www.instagram.com/itschloeting/twitch.tv/chloetinghttps://discord.gg/chloetingMy Spotify Playlist https://open.spotify.com/user/s17162aerlbfj7cpsvv48spyx?si=0Zzwvx6-SdW2gbuyIveoaQ✚ Music byParty in Backyard - https://www.youtube.com/user/PartyInBackyardI Can Feel It - https://youtu.be/rMxjLEfZUrwSean Remix - https://youtu.be/R4YzjPfwSJgDylan LockeRoomie Badhttps://youtu.be/XYVqxH1s4qc#workouts #fitness #chloetingIMPORTANT DISCLAIMER: Some people may see my video titles as click-bait. YouTubers optimise their video's meta data for discovery due to how the algorithm is like. This isn't anything new. Most people who've been watching YouTube for years would understand this. If you're unhappy and get triggered by this, well, this channel isn't for you then. I’ve provided free workout schedules and programs since day 1 and have always optimised my meta data as such so that's not going to change.Having said that, it doesn't mean the workout do not work. You will still see results by following a suitable program schedule, watching your diet, being in a deficit or surplus (based on your goals), doing exercises in good form, etc. These are all equally important factors. You're not going to get abs, grow a booty, grow biceps magically from 1 or 2 videos, in 1, 2, 3 or 4 weeks cause everyone is different. I've explain multiple times throughout videos throughout my channel over years that it takes time and lots of factors, so don't take a video title out of context. Targetting fat loss is not scientifically proven. Everyone is different and it takes time. When doing any home workouts, do take precaution to exercise in a safe environment, and if you need help or you're not seeing results, I suggest seeing a health and fitness professional to give you tailored advice on your exercise form and dietary needs. I am not a medical professional and what I share on my channel are my views and what has worked for myself. Your health and safety is the utmost importance so find out what works for you."
183,SAjP9HCqk4I,Deadpool 2 Monologue,2021-01-04T22:15:37Z,UCA3-nIYWu4PTWkb6NwhEpzg,Ryan Reynolds,22,21.11.01,[none],1524547,94849,755,3069,https://i.ytimg.com/vi/SAjP9HCqk4I/default.jpg,False,False,"Introducing Walker Scobell. This innocent young boy plays 12 year old me in our upcoming Netflix film #TheAdamProject. Because he takes his job seriously, the role required significant research. No matter what, he’s WAY too young to know this monologue by heart. So precious."
185,bIiLofAhTz8,ALLERGIC REACTION after SAYING YES to the dress,2021-01-05T01:13:39Z,UCLGe0PxyRFWmXVGJKq_gGvw,fancy vlogs by gab,22,21.11.01,Allergic reaction after saying yes to the dress|Say yes to the dress|Saying yes to the dress|Hi stalker taking the time to search my tags 🥰|Mother laughs at bridesmaid|Allergic reaction|Bridal vlogs|Fancy vlogs by gab|Gabi demartino|Gabi demartino engaged,692563,28644,1633,2444,https://i.ytimg.com/vi/bIiLofAhTz8/default.jpg,False,False,"What is grace? https://youtu.be/m2bz8mnWsbsBeautiful mess FRAGRANCE ORDER NOW HERE:https://gabifragrances.com shop my clothes + antiques! https://gabtoinetteantiques.bigcartel.comDOWNLOAD + STREAM pretty little mind http://smarturl.com/prettylittlemindDOWNLOAD + STREAM Champagne Dreamshttp://smarturl.it/champagnedreamsSUBSCRIBE TO MY NEW VEVO ARTIST PAGE!https://www.youtube.com/channel/UC9apgDi_fm5AUeZf6PAvYlAMY SITE! MERCH / ALBUM / TOUR UPDATES HERE / video + ANTIQUE SHOP HERE!https://gabidemartino.coPLS DONATE https://www.gofundme.com/f/policeaccountability?sharetype=teams&member=4519946&utm_medium=copy_link&utm_source=customer&utm_campaign=p_na+share-sheet&rcid=3a10c4ec01464269a3b43a081378f35bhi i’m gabi DeMartinostay fancy always a video is posted every 3 days!Beautiful Mess album coming to you 2021! (15 tracks)Gabroadway - EP by Gabi DeMartinohttps://music.apple.com/us/album/gabroadway-ep/1518006502Thumbnails by: @abbyclocker @abbytheanimator 🐇twitter.com/gabcake tweet me that you saw this and I’ll follow u back heheTIKTOK: fancytiktokbygabInstagram.com/gabiyou’ve never seen an aesthetic til you’ve seen my instaaaafollow the instagram page for our home! instagram.com/thecastawaycottageFollow my show on instagram! instagram.com/bloodqueensofficialFor $5 in ride credit, download the Lyft app using my referral link: https://www.lyft.com/i/GABRIELLA20736?utm_medium=p2pi_iacc. It's the most affordable ride in town. ORDER our EP! http://smarturl.it/NikiGabiINDIVIDUALDownload my single, flowers! http://smarturl.it/NikiGabiINDIVIDUALmake sure to follow the instagram page @blooduqeensofficial-Snapchat-fancysnapsbygabi mean, if you’re girly and would love to see girly snaps and over-usage of snapchat filters then go ahead and add me!!i have my own series going on this channel in october and you can get inside looks already at @bloodqueensofficial on instagram!!!steal my style: http://stealherstyle.net/gabriella-demartino/  -Tumblr- http://www.breakfastatchanel-starringgabi.tumblr.com-Pinterest-www.pinterest.com/pinkprincessGAB"
