,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
168,qsouZwheabQ,又到了杀年猪做过年菜的時候了，吹豬肝、卷蹄、香肠，你们吃过吗？【滇西小哥】,2021-01-06T09:59:42Z,UCQG_fzADCunBTV1KwjkfAQQ,滇西小哥 Dianxi Xiaoge,22,21.11.01,滇西小哥|Ms Dianx|Điền Tây Tiểu Ca|雲南|雲南美食|鄉間美食|云南|云南美食|乡间美食|dianxixiaoge|年猪|过年菜|年菜|吹豬肝|卷蹄|香肠|火腿|排骨|弥渡卷蹄|过年,4879760,109311,6087,5718,https://i.ytimg.com/vi/qsouZwheabQ/default.jpg,False,False,"有多少人是从两年前的那期吹肝认识我的呢？今年我们又做吹肝了今年的年猪急急忙忙的就宰了，一家人忙到了晚上，不过该做的过年菜都做了，腌制了火腿，排骨，装了香肠，吹肝，还特意做了卷蹄。在我们所有的过年菜里，卷蹄是工艺最复杂的了，需要完整的剥下猪蹄的皮，塞上猪瘦肉，不能有一点空隙，再认真缝合上，稻草绑紧后煮熟腌制数月，口感特别Q弹，也有淡淡酸鲊肉的味道～※Click cc on the lower right menu to choose your subtitle language.How many of you have known me since the cured blown pig liver episode two years ago? We made that dish again this year.This year, we butchered the annual pig in a hurry. My family and I worked till late night and managed to prepare all dishes for the lunar new year. We made not only hams, ribs, sausages, cured blown pig liver, but also stuffed trotters. Among all annual pig feast dishes, stuffed trotters require the most efforts. We will have to peel the skin of a trotter integrally to stuff lean meat inside, leaving no gaps at all. Then stitch the skin and tie with straw tightly to boil until cooked. Marinade the trotter for months and it will become chewy and spongy, which tastes like sour meat.大家好！我是滇西小哥，一个地道的云南妹子，如果你喜欢我的视频，请持续关注我的频道，我会在不同的平台分享我的生活，以及云南特色美食，祝你们天天开心，每天都有美食相伴～YouTube【滇西小哥 Dianxi Xiaoge】▶️https://bit.ly/2MH1T5NFacebook【滇西小哥 Dianxi Xiaoge】 ▶️https://bit.ly/2TsGflrInstagram【dianxixiaoge_apenjie】▶️https://bit.ly/2Wagkze   #滇西小哥 #DianxiXiaoge #ĐiềnTâyTiểuCa"
178,rT-GIPffCtU,My Sister Got Kidnapped!/ 13 Funny Situations,2021-01-08T19:15:02Z,UC41GHsi-F40DiDT2DFAWW0w,WooHoo,26,21.11.01,prank|pranks|best pranks|pranks video|funny|joke|how to prank|prank wars|prank ideas|easy pranks|funny pranks|funny pranks videos|pranks for friends|easy pranks to do at home|pranks on sister|best pranks for prank wars|best pranks for home|Sibling Prank Wars|Funny Sister Pranks|Sister Pranks|Funny Sister|woohoo|Kidnapped,977125,16639,1123,605,https://i.ytimg.com/vi/rT-GIPffCtU/default.jpg,False,False,"Subscribe Here: https://www.youtube.com/channel/UC41GHsi-F40DiDT2DFAWW0w?sub_confirmation=113 Awkward Moments We All Can Relate To/ What Adults Are Scared Of https://youtu.be/LZJ4nFQ8hDs?list=PLm2BDoawbClKr_gj7wLQ3OIj_bF__E-nd&playnext=1Do you like to prank? We adore it! Today our heroes want to share with you their best kidnapping prank ideas!Musiс:     Faceoff by Kevin MacLeod is licensed under Creative Commons:By Attribution 4.0  (https://creativecommons.org/licenses/by/4.0/ ) Source: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100403Artist: http://incompetech.com/Hall of the Mountain King by Kevin MacLeod is licensed under a Creative Commons:By Attribution 4.0  (https://creativecommons.org/licenses/by/4.0/)Source: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1200072Artist: http://incompetech.com/  The Builder by Kevin MacLeod is licensed under Creative Commons:By Attribution 3.0 ( http://creativecommons.org/licenses/by/3.0/)Source: https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1400016Artist: http://incompetech.com/  Hidden Agenda by Kevin MacLeod is licensed under Creative Commons:By Attribution 3.0: (http://creativecommons.org/licenses/by/3.0/ )Source:  http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1200102.Artist: http://incompetech.com/   Follow WooHoo:                                                                                                                                                         Subscribe: https://www.youtube.com/channel/UC41GHsi-F40DiDT2DFAWW0w?sub_confirmation=1                           Instagram: https://www.instagram.com/woohooyt/ Facebook: https://www.facebook.com/WooHooYT/ TikTok: https://vm.tiktok.com/ZSvXvNfk/LIKEE: https://likee.video/p/6adBI5WooHoo Español: https://www.youtube.com/channel/UCwmVv-CvbNdhlnPQ4SyWzkg?sub_confirmation=1 WooHoo Française: https://www.youtube.com/channel/UC4EitvksL3NFbAOmra3Uifw?sub_confirmation=1 WooHoo Deutsch: https://www.youtube.com/channel/UCnb3b-x6to_3eGa3vLdkMTw?sub_confirmation=1 WooHooRussian: https://www.youtube.com/channel/UCKQTOGKzcSPuQgflweqce_Q?sub_confirmation=1 WooHoo Arabic: https://www.youtube.com/channel/UCFIVmDqbK_jnb6kq7I5hluA?sub_confirmation=1 WooHoo Português: https://www.youtube.com/channel/UCDr1rkNvzPCEfh5ZCJeqpdg?sub_confirmation=1 WooHoo Korean: https://www.youtube.com/channel/UCdlIhXi58dS5-iSNnWZztjw?sub_confirmation=1 WooHoo Japanese: https://www.youtube.com/channel/UCnRpUDeigShZRCoNuDQSZWg?sub_confirmation=1 WooHoo Hindi: https://www.youtube.com/channel/UCx5g_aFCltyGS1_Gm-hKx4g?sub_confirmation=1 WooHoo Turkish: https://www.youtube.com/channel/UCxvB8XF9y6_wkbjkq_fzC0g?sub_confirmation=1WooHoo Italian: https://www.youtube.com/channel/UCat4J1qEHCdzKS32xXNbbaw?sub_confirmation=1 WooHoo Chinese: https://www.youtube.com/channel/UCjJalG3Xg5R-MCG104fIT7w?sub_confirmation=1 WooHoo Thai: https://www.youtube.com/channel/UCUTNwjovakBF0FQi7bOB6Bg?sub_confirmation=1 WooHoo Polish: https://www.youtube.com/channel/UC0av3qQ2ppndBLFOdBu45Fw?sub_confirmation=1 WooHoo Indonesia: https://www.youtube.com/channel/UCmEm-e21vzohLlZ5ha6xytw?sub_confirmation=1 WooHoo Vietnam: https://www.youtube.com/channel/UCacVq26JQfpJxnUQkuk4qdw?sub_confirmation=1 About WooHoo: Crafts, life hacks and more!Don’t forget to turn on notifications, like, & subscribe!"
195,VTjTsyuHISM,"VIRAL! BADING SA CCTV FOOTAGE NA KAHALIKAN NI CHRISTINE DACERA  MAY IBINUNYAG, VALENTINE ROSALES",2021-01-06T19:19:29Z,UCS5-lCKkbG8DeSxtSJMIOSw,PINOY SUPERSTARS TV,22,21.11.01,CHRISTINE DACERA TIKTOK|CHRISTINE DACERA VALENTINE ROSALES|CHRISTINE DACERA NEWS|CHRISTINE DACERA LATEST|CHRISTINE DACERA TV PATROL|CHRISTINE DACERA 24 ORAS|CHRISTINE DACERA TULFO|CHRISTINE DACERA RAFFY TULFO|CHRISTINE DACERA UPDATE|CHRISTINE DACERA LAST VIDEO|CHRISTINE DACERA ACTUAL FOOTAGE|CHRISTINE DACERA ABS CBN|CHRISTINE DACERA ACTUAL VIDEO|RAFFY TULFO CHRISTINE DACERA|ABS CBN LIVE|TV PATROL LIVE|24N ORAS LIVE,1143451,9645,853,2054,https://i.ytimg.com/vi/VTjTsyuHISM/default.jpg,False,False,NAGSALITA NA SI VALENTINE ROSALES NA ITINUTURO NG MGA NETIZENS NA SYANG KAHALIKAN DAW DI UMANO NI CHRISTINE DACERA NA NAKUHAAN NG CCTV FOOTAGE.  DEPENSA KASI NI VALENTINE ROSALES AY BADING DAW SYA.  NAGLABAS NG BAGONG EBIDENSYA!VALENTINE ROSALES MAY IBINUNYAG DIN TUNGKOL SA PAGKATAO NI CHRISTINE DACERA.PANOORIN ANG BUONG DETALYE!⚠️SOURCES and RECEIPTS📌VALENTINE ROSALES FACEBOOK POSTS1.) https://m.facebook.com/story.php?story_fbid=3593727590674908&id=1000011310662012.) https://m.facebook.com/story.php?story_fbid=3593746340673033&id=100001131066201📌VALENTINE ROSALES INSTAGRAM PAGE https://instagram.com/valentinersls?igshid=1phjkfgdvfu7g#CHRISTINEDACERA #VALENTINEROSALES #PNP #DEBOLDSINAS #TVPATROL #ABSCBN #24ORAS #GMANEWS __________________________________________________Related Keywords:FLIGHT ATTENDANT CHRISTINE DACERACHRISTINE DACERA LATEST CHRISTINE DACERA NEWS CHRISTINE DACERA INTERVIEW CHRISTINE DACERA UPDATE CHRSTINE DACERA LATEST UPDATE NEWS CHRISTINE DACERA TIKTOK CHRISTINE DACERA NEWSDEBOLD SINAS NEWS DEBOLD SINAS LATEST NEWS DEBOLD SINAS TULFO DEBOLD SINAS RAFFY TULFO DEBOLD SINASTITO SOTTO ABS CBN FRANCHISE TITO SOTTO ABS CBN SHUTDOWN ABS CBN MAGBABALIK NA SA 2021 TITO SOTTO ABS CBN FRANCHISE 2021PBB LIVE TODAY PBB LIVE STREAM TODAY 2021  PBB 2021 LIVE PBB LIVE UPDATES PBB FULL EPISODE PBB JANUARY 6  2021 PBB JANUARY 7 2021 PBB JANUARY 8 2021 PBB JUSTIN DIZON PBB RUSSU LAURENTE ABS CBN SHUTDOWNTV PATROL LIVE TV PATROL LIVE STREAM TODAY ABS CBN LIVE SHOWTIME LIVE TODAY PROBINSYANO LIVE PROBINSYANO LATEST EPISODEVICE GANDA LATEST VLOG VICE GANDA NETWORK VICE GANDA SHOWTIME FUNNY MOMENTS VICE GANDA SONGS VICE GANDA FULL MOVIES VICE GANDA ABS CBN SHUTDOWNSHOWTIME LIVE TODAY SHOWTIME LIVE STREAM SHOWTIME JANUARY 6 2021 SHOWTIME FULL EPISODE TODAY SHOWTIME JANUARY 7 2021______________________________________________Dont forget to Subscribe and Click the Bell Icon for more of your Daily Philippine Showbiz Updates! https://www.youtube.com/channel/UCS5-lCKkbG8DeSxtSJMIOS
382,KkfWX1GBSI4,CONCH Cooking & Eating | Sangu Kari | How to Cook Conch | Rare Seafood Item Cooking In Village,2021-01-08T13:49:01Z,UCk3JZr7eS3pg5AGEvBdEvFg,Village Cooking Channel,26,21.13.01,conch|conch shell|conch cooking|conch eating|sangu kari|seafood|how to cook conch,4422319,101116,7545,4249,https://i.ytimg.com/vi/KkfWX1GBSI4/default.jpg,False,False,"Today in our village, we cook Conch which is a rare item in our village peoples. Conch meat is one of the tastiest seafood recipe. We first take out the conch meat from the shell then we cook it in our traditional village cooking style. We can also eat boiled conch meat without adding any spices or masala because of the conch meat taste.Finally, we enjoy the Sangu Kari with the joy of the taste."
393,RVN_g9XYUsY,Virumaandi - Official Trailer | Kamal Haasan | #17YearsofVirumaandi,2021-01-08T12:30:11Z,UC_gXhnzeF5_XIFn4gx_bocg,Raaj Kamal Films International,22,21.13.01,Ulaganayagan Tube|Kamal Haasan|Virumaandi|Virumaandi Trailer|virumandi songs|kamal haasan movies|actor kamal haasan|virumaandi songs|kamal|virumandi whatsapp status|virumandi full movie tamil|virumandi full movie|virumandi scenes|virumandi trailer|virumandi|ilayaraja songs|ilayaraja bgm|pasupathiy|abhirami|napoleon|rohini|shanmugham|nassar|Virumaandi official trailer|Virumaandi Rerelease|Virumandi on Prime Video|prime video,1235047,81239,1133,2635,https://i.ytimg.com/vi/RVN_g9XYUsY/default.jpg,False,False,"Catch the cult-classic blockbuster Streaming on Amazon Prime Video from 14th January onwards!Directed by : Kamal HaasanProduced by : Kamal Haasan, Chandra HaasanWritten by : Kamal HaasanStarring : Kamal Haasan, Abhirami, Pasupathy, Napoleon, Rohini, Shanmugarajan, NassarMusic by : IlayaraajaCinematography : Keshav PrakashEdited by : Ram Sudharsan, Kamal HaasanProduction company : Raaj Kamal Films InternationalKamal Haasan Twitter : http://www.twitter.com/iKamalHaasanKamal Haasan Facebook : http://www.facebook.com/iKamalHaasanSubscribe - http://bit.ly/1yXII8Z"
395,KV-vywQrUWw,非整人！跟三原的戀愛故事❤️ @三原JAPAN Sanyuan_JAPAN ｜愛莉莎莎Alisasa,2021-01-09T09:37:40Z,UCAKJ0tmI_RMXqTgxL_OMfIg,愛莉莎莎 Alisasa,22,21.13.01,[none],1671049,33208,4788,3495,https://i.ytimg.com/vi/KV-vywQrUWw/default.jpg,False,False,══════════════════════════════任何合作邀約請洽Pressplay Email : alisasa@pressplay.cc══════════════════════════════追蹤我 Follow Me ★Facebook粉絲專頁: https://www.facebook.com/alisasa11111/★Instagram: goodalicia══════════════════════════════
476,oYsja9hT1Fc,Finally!! BAKLA na Kasama sa Christine Dacera CASE NAGKWENTO NA!,2021-01-05T07:42:46Z,UCcJQXwgXaWx0SuVX8pDtfRw,Showbiz Broadcast,22,21.14.01,showbiz broadcst|showbiz|philipines|artista|trending|angel locsin|coleen garcia|baby amari|vice ganda|christine dacera|suspek christine dacera|nagsalita na|mga kasamang lalaki ni christine dacera|christine angelica dacera|christine dacera flight attendant|flight attendant|pnp|pal|philippine airlines|city garden hotel|nagsalita na suspek sa christine dacera|tunay na nangyari,2809553,22855,1915,3286,https://i.ytimg.com/vi/oYsja9hT1Fc/default.jpg,False,False,FOLLOW US:FACEBOOK: https://www.facebook.com/ShowbizBroadcaster/WEBSITE: https://showbizbroadcaster.com/TWITTER: https://twitter.com/ShowbizBroadca1
493,2VhWjqSHGVs,ACTUAL VIDEO ni Christine Dacera KASAMA mga BADING nyang KAIBIGAN!!,2021-01-05T11:58:26Z,UCcJQXwgXaWx0SuVX8pDtfRw,Showbiz Broadcast,22,21.14.01,showbiz broadcst|philipines|trending|billy|actual video|video of christine dacera|christine dacera|suspek christine dacera|nagsalita na|mga kasamang lalaki ni christine dacera|christine angelica dacera|christine dacera flight attendant|flight attendant|pnp|pal|philippine airlines|city garden hotel|nagsalita na suspek sa christine dacera|tunay na nangyari|christine dacera cctv,2668346,13290,1261,1373,https://i.ytimg.com/vi/2VhWjqSHGVs/default.jpg,False,False,Videos ni Christine Dacera kasama ang kanyang mga kaibigang kapwa cabin crew kung saan makikita kung gaano sya ka-kumportableng kasama ang mga ito. #christinedaceraFOLLOW US:FACEBOOK: https://www.facebook.com/ShowbizBroadcaster/WEBSITE: https://showbizbroadcaster.com/TWITTER: https://twitter.com/ShowbizBroadca1
496,bRbYc8qpDZo,【小吳】直接飆淚‼️『楊丞琳假mv試鏡(下)』YouTuber才藝表演超精彩😂(ft.楊丞琳 紀卜心 阿圓 許凱皓 欸你這週要幹嘛 Shine 白癡公主 董仔 木星 蕾菈 Yin 柔蓁),2021-01-03T04:00:15Z,UCAfcy122TZHqDQMMAwfbvBQ,見習網美小吳,22,21.14.01,楊丞琳|整人|爆笑|小吳整人|試鏡|楊丞琳小吳|Youtuber|紀卜心|這群人|跨年|董仔|木星|許凱皓|蕾菈|反骨男孩|白癡公主,2956999,65244,875,2342,https://i.ytimg.com/vi/bRbYc8qpDZo/default.jpg,False,False,"謝謝各位粉絲的喜愛,下集終於來囉‼️還沒看上集的朋友▶ https://youtu.be/50OxqPvmUdo經歷過上集超精彩的演出(?)之後上集的五位參賽者也加入了『陪審團XD』到底下集的五位選手會有什麼驚人的演出呢😂....？結局公布後大家的反應會是.....?!全民憋笑大賞下集(誤...)正、式、開、始‼️_________________________________________________楊丞琳假MV試鏡整人計畫邀來楊丞琳本人‼️並串通多位YouTuber經紀人攜手整爆YT圈！！！#整人大賞 #楊丞琳 #楊丞琳整人 #Youtuber #整人 #試鏡***特別感謝參與人員***導演Yin: @Yinllusion舞蹈老師柔蓁: @iamriva123最棒的工作人員: @010irene環球音樂各個協助夥伴各個YouTuber以及經紀人_________________________________________________楊丞琳出道20週年專輯《LIKE A STAR》🎬MV觀看▶https://youtu.be/3cwnQa_oLOI🎧專輯收聽▶https://umg.lnk.to/RYLIKEASTAR20_________________________________________________謝謝大家的收看，喜歡影片別忘記訂閱我們哦‼️►【訂閱YouTube頻道 : goo.gl/qZbiUb】►【追蹤instagram : http://goo.gl/29cDAv】"
504,50OxqPvmUdo,【小吳】最強整人！YouTuber來試鏡😂『楊丞琳假mv試鏡(上)』差點被罵哭？(ft.楊丞琳 紀卜心 阿圓 許凱皓 欸你這週要幹嘛 Shine 白癡公主 董仔 木星 蕾菈 Yin 柔蓁),2020-12-29T12:00:11Z,UCAfcy122TZHqDQMMAwfbvBQ,見習網美小吳,22,21.14.01,楊丞琳|整人|整人大賞|小吳整人|小吳|白癡公主|紀卜心|阿圓|欸你這週要幹嘛|許凱皓|這群人|董仔|木星|蕾菈|反骨男孩|爆笑|楊丞琳整人,3361120,76546,1134,4151,https://i.ytimg.com/vi/50OxqPvmUdo/default.jpg,False,False,下集連結🔗 https://youtu.be/bRbYc8qpDZo2020年末最大企劃來了！！楊丞琳假MV試鏡整人計畫邀來楊丞琳本人‼️並串通多位YouTuber經紀人攜手整爆YT圈！！！究竟YouTuber們來試鏡會發生什麼趣事呢？還要唱歌跟跳舞？？集體崩潰😂？？只能說大家真的都被嚇傻了XDDDD丞琳跟導演演技大爆發(拍手)#整人大賞 #楊丞琳 #楊丞琳整人 #Youtuber #整人 #試鏡***特別感謝參與人員***導演Yin: @Yinllusion舞蹈老師柔蓁: @iamriva123最棒的工作人員: @010irene環球音樂各個協助夥伴各個YouTuber以及經紀人_________________________________________________楊丞琳出道20週年專輯《LIKE A STAR》🎬MV觀看▶https://youtu.be/3cwnQa_oLOI🎧專輯收聽▶https://umg.lnk.to/RYLIKEASTAR20_________________________________________________謝謝大家的收看，喜歡影片別忘記訂閱我們哦‼️►【訂閱YouTube頻道 : goo.gl/qZbiUb】►【追蹤instagram : http://goo.gl/29cDAv】
