,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
165,S6aXAwYT6nY,MY LAST PREGNANCY UPDATE ON THE TWINS | OUR ULTRASOUND RESULTS,2021-01-04T20:53:06Z,UC_0mlge_fLewbr5P8YEL2tA,THE WEISS LIFE,26,21.11.01,pregnancy update on the twins!|unexpected news|pregnancy update|twins|pregnant with twins|first ultrasound|twins ultrasound surprise|pregnant|emotional|miscarriage|i lost the baby|ultrasound|pregnancy|babies|vlog|the weiss life|twin pregnancy|pregnancy reveal|are we having twins|weiss life|first ultrasound twins|first ultrasound pregnancy|twin ultrasound|twin|twin pregnancy update|gender reveal|baby|new baby|surprise|Surprise twins,199889,9208,309,0,https://i.ytimg.com/vi/S6aXAwYT6nY/default.jpg,True,False,"Don't forget to subscribe! http://www.youtube.com/theweisslifeIn today's vlog - MY LAST PREGNANCY UPDATE ON THE TWINS | OUR ULTRASOUND RESULTSMelissa's last pregnancy update on the twins. We went to the doctor for an emergency ultrasound a few weeks ago and we got some bad news about the babies. We lost one of the twins and found out that the other baby is at risk for having some complications due to a cyst on it's placenta. If you missed our last pregnancy updates you can catch up here: PREGNANCY UPDATE ON THE TWINS | Our Ultrasound + Unexpected Gender Reveal News: https://www.youtube.com/watch?v=C7tYsqModLc&t=148sOur First Ultrasound | IT'S TWINS! https://youtu.be/5EZnz89BLtk↓My Other Channel↓Melissa Weiss: https://www.youtube.com/channel/UCaGkVbFGD9JfRfppLbKR9mAOUR WEBSITE! https://www.weisslife.com*Follow us on Social*Instagram Accounts:Melissa: http://www.instagram.com/theweissfamGabrielle: http://www.instagram.com/missgabriellenicholeJeff: http://www.instagram.com/jeffweisslifeFacebook: http://www.facebook.com/theweisslifeTwitter: http://twitter.com/TheWeissLifeSend Us Mail!The Weiss Life69 Lincoln Blvd. Suite-A # 267Lincoln, CA 95648Production Music courtesy of  www.epidemicsound.com"
181,5PtKZ5cx3v8,Addressing Rumors & Upstairs House Tour! | Carly Waddell,2021-01-03T16:45:00Z,UCiRBm8w6yfSJdly2wwfe0rw,Carly Waddell,22,21.11.01,[none],266128,3308,215,0,https://i.ytimg.com/vi/5PtKZ5cx3v8/default.jpg,True,False,"Hi everyone... I hope you enjoyed today's video! I am so happy to finally get to show you the rest of my home! What do you guys want to see next on my channel? I am finally ready to bring positive, fun videos back and can't wait for your suggestions! CARLY'S Instagram: http://instagram.com/carlywadCARLY's Twitter: https://twitter.com/carlywaddellListen to Mommies Tell All Podcast: https://podcasts.apple.com/us/podcast/mommies-tell-all/id1457381834Camera I Use: https://amzn.to/2Yf0pmmCamera Lens: https://amzn.to/30ppLAzMicrophone Attachment: https://amzn.to/30rcszRTripod: https://amzn.to/2UsveTzFor Youtube Business-Related Inquiries contact: CarlywaddellYT@gmail.comFTC // This video is not sponsored | Amazon and Reward Style are affiliate links. All opinions are my own! ♡"
185,2YbKnj7OmVQ,IM PREGNANT!,2021-01-01T21:38:53Z,UCAXEGk-l_ioBMvHa9_uHJjg,A&B Things,22,21.11.01,baby|surprise|pregnant|boyfriend|girlfriend|YouTube|video|cry|couple|love|A&B Things|teen mom|trend|viral|trending,1878140,104365,2291,13004,https://i.ytimg.com/vi/2YbKnj7OmVQ/default.jpg,False,False,"We are both totally speechless... God blessed us with another blessing!thank you guys so much for your support !JOIN US & SUBSCRIBE: https://bit.ly/2yXCDPyTURN ON POST NOTIFICATIONS FOR A SHOUTOUT IN OUR NEXT YOUTUBE VIDEO*** Biz: abthings22@gmail.comOur Socials: Anthony's Instagram: https://www.instagram.com/imanthonyvargas/Bella's Instagram : https://www.instagram.com/bellaretamosa/"
186,CPI_Ve7vsHs,NEW Full Body HIIT Workout to lose Weight | 2021 Flat Stomach Challenge,2021-01-02T12:00:09Z,UCCgLoMYIyP0U56dEhEL1wXQ,Chloe Ting,26,21.11.01,flat stomach|flat stomach workout|flat stomach exercise|flat stomach and small waist|flat stomach and small waist workout|flat stomach in 28 days|flat stomach program|flat tummy|flat tummy workout|flat tummy exercise|flat tummy home workout|flat stomach at home|home workout|beginner workout|beginner friendly workout|hiit|exercise|stomach workout|tummy workout|abs|abs workout|abs exercise|abs routine|abs workout for women|female abs|easy abs workout,1738819,61452,463,3872,https://i.ytimg.com/vi/CPI_Ve7vsHs/default.jpg,False,False,"Start your 2021 new years resolution with a new flat stomach challenge! We've got 8 brand new episodes in this 28 days program. Please smash that like button for me, and drop a comment below with how you go each day.✚ Free Program Schedulehttps://www.chloeting.com/program/2021/flat-stomach-challenge.htmlNew Warm Up Routine - https://youtu.be/j6C-6F6dr-4Ep 1 - Full Body - https://youtu.be/CPI_Ve7vsHsEp 2 - Abs - https://youtu.be/fWdbo0i8v9gEp 3 - Upper Body -  https://youtu.be/iN-AEOs9rzcEp 4 - Booty - 7th JanEp 5 - HIIT - 11th JanEp 6 - Lower Abs - 13th JanCooldown - TBA✚ Other Free Programshttps://www.chloeting.com/program✚ Sponsor this channelhttps://www.youtube.com/chloeting/joinSub to my 2nd channelhttps://www.youtube.com/channel/UCBrcDabYtwbR1VIhwH5efZA?sub_confirmation=1✚ My linkshttps://www.instagram.com/chloe_t/https://www.instagram.com/itschloeting/twitch.tv/chloetinghttps://discord.gg/chloetingMy Spotify Playlist https://open.spotify.com/user/s17162aerlbfj7cpsvv48spyx?si=0Zzwvx6-SdW2gbuyIveoaQ✚ Music bySan Holo - I Still See Your Face (Hundaes Remix)Watch: https://youtu.be/ThoBhh6IG98Download / Stream: https://sanholo.lnk.to/wPYKovogSan Holo - Still Looking (CESQEAUX Remix)Watch: https://youtu.be/OfOhY2sBV24Download / Stream: https://sanholo.lnk.to/PZGN6q7GMusic provided by Monstercat: Dallas & BEAUZ - Outerspacehttps://youtube.com/monstercat https://youtube.com/monstercatinstinctMusic provided by Monstercat: inverness & William Bolton - Lost My Mindhttps://youtube.com/monstercat https://youtube.com/monstercatinstinctTrack:   Someone Else & IMMENSE - Hold On To MeMusic Provided by Magic RecordsListen To The Original:  https://youtu.be/HUeDrqQNOwoFree Download:  https://fanlink.to/et8BUsage Policy: http://www.magicmusicLLC.comTrack: Unknown Brain - Hollywood Perfect (ft. NotEvenTanner) [NCS Release]Music provided by NoCopyrightSounds.Watch: https://youtu.be/l6IcWZHico8Free Download / Stream: http://ncs.io/HollywoodPerfectTrack: Unknown Brain - Jungle of Love (ft. Glaceo) [NCS Release]Music provided by NoCopyrightSounds.Watch: https://youtu.be/ohymkBe4zhgFree Download / Stream: http://ncs.io/JungleofLoveCadmium - No Friends (feat. Rosendale)Free Download - https://fanlink.to/cDpV#workouts #fitness #chloetingIMPORTANT DISCLAIMER: Some people may see my video titles as click-bait. YouTubers optimise their video's meta data for discovery due to how the algorithm is like. This isn't anything new. Most people who've been watching YouTube for years would understand this. If you're unhappy and get triggered by this, well, this channel isn't for you then. I’ve provided free workout schedules and programs since day 1 and have always optimised my meta data as such so that's not going to change.Having said that, it doesn't mean the workout do not work. You will still see results by following a suitable program schedule, watching your diet, being in a deficit or surplus (based on your goals), doing exercises in good form, etc. These are all equally important factors. You're not going to get abs, grow a booty, grow biceps magically from 1 or 2 videos, in 1, 2, 3 or 4 weeks cause everyone is different. I've explain multiple times throughout videos throughout my channel over years that it takes time and lots of factors, so don't take a video title out of context. Targetting fat loss is not scientifically proven. Everyone is different and it takes time. When doing any home workouts, do take precaution to exercise in a safe environment, and if you need help or you're not seeing results, I suggest seeing a health and fitness professional to give you tailored advice on your exercise form and dietary needs. I am not a medical professional and what I share on my channel are my views and what has worked for myself. Your health and safety is the utmost importance so find out what works for you."
191,aE_zvyuAcuo,If Everything Was Like Among Us *Bloopers 2*,2021-01-01T22:15:10Z,UCn3AViOfcFN4zIICMC5hvPg,Shiloh & Bros,22,21.11.01,among us|among us in real life|among us imposter|in real life|irl|among us reality|if everything was like among us|imposter iq|900 iq|imposter among us|part 2|part 3|imposter|among us but in real life|real life|among us irl|among us parody|among us skit|funny among us|funny|funny among us moments|imposter in real life|siblings|comedy|shiloh|shiloh and bros|real|imposter among us funny|blooper|among us behind the scenes|outtake|gag reel,4468403,74402,2226,7865,https://i.ytimg.com/vi/aE_zvyuAcuo/default.jpg,False,False,"Among us in real life bloopers! These are bloopers and outtakes from our Imposter videos part 3, part 4, and part 5. I hope they make you laugh! https://shilohandbros.com/ ⬅ Get the Imposter shirts and hoodies here! If you like Piper Rockelle, The Norris Nuts, Dixie D'Amelio, or the Txunamy, you'll love our channel. We do funny pranks, challenges, and skits!Shiloh's Instagram: https://www.instagram.com/shilohanelson/   Elijah's Instagram: https://www.instagram.com/iamelijahnelson/Judah's Instagram: https://www.instagram.com/judahnelson/Micah's Instagram: https://www.instagram.com/heythisismicah/Britney's Instagram: https://www.instagram.com/britneyleighnelson/Daniel's Instagram: https://www.instagram.com/danielnelsonofficial/Subscribe here! http://bit.ly/ShilohToJudahChannelHit the bell to be notified when we post new videos! Puppy Love (Sting) by Twin Musicom is licensed under a Creative Commons Attribution 4.0 license. https://creativecommons.org/licenses/by/4.0/Artist: http://www.twinmusicom.org/#amongus #amongusinreallife #bloopers"
192,ZSIp00SewO8,Day 1 - Invite  |  BREATH - A 30 Day Yoga Journey,2021-01-02T06:00:03Z,UCFKE7WVJfvaHW5q283SxchA,Yoga With Adriene,26,21.11.01,breath|30 day yoga journey|30 days of yoga|yoga challenge|30 Day yoga challenge|30 day challenge|home yoga|home yoga practice|yoga at home|at home yoga|Adriene Mishler|austin yoga instructor|free yoga|free yoga videos|full yoga class|morning yoga|online yoga|yoga practice|Yoga with Adrienne|yoga at home day 1,2261699,63058,889,8962,https://i.ytimg.com/vi/ZSIp00SewO8/default.jpg,False,False,"Your first yoga practice is here, and it is a full one, packed with valuable invitations! We begin by taking things nice and slow. You will soon feel more fire, you may move fast, but this series asks you to be disciplined about bringing awareness to the deeper layers of your practice - with breath. What makes this 30 Day series unique is that these practices are designed to work together 1-30, not just as one-offs, though that is time well spent too. This series is a process with intention. Today’s practice is all about listening, respectfully setting the tone, building foundation with slow and with purposeful movement. Thank you for joining me on this journey and for sharing this connection with so many people around the world. **REMINDER** If you are not signed up for the daily email that corresponds with each practice video, sign up for free and receive your free BREATH calendar here: https://www.yogawithadriene.com/breathLet me know how it goes for you in the comment section down below! - - - - - - - - - - ❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️https://www.youtube.com/user/yogawithadriene?sub_confirmation=1- - - - - - - - - - 🧘🏽‍♂️🧘‍♀️Become a FWFG YOGA member! 🧘🏻‍♂️🧘🏿‍♀️https://fwfg.comJoin Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one stop shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! - - - - - - - - - - 🗓Get your FREE Yoga Calendar: 🗓http://yogawithadriene.com/calendar/- - - - - - - - - - More at www.yogawithadriene.com▶︎ Instagram: @adrienelouise▶︎ Twitter: @yogawithadriene▶︎ Facebook: Yoga With Adriene▶︎ Shop: https://shop.fwfg.com- - - - - - - - - - Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself."
390,SAjP9HCqk4I,Deadpool 2 Monologue,2021-01-04T22:15:37Z,UCA3-nIYWu4PTWkb6NwhEpzg,Ryan Reynolds,22,21.13.01,[none],1540252,95454,770,3100,https://i.ytimg.com/vi/SAjP9HCqk4I/default.jpg,False,False,"Introducing Walker Scobell. This innocent young boy plays 12 year old me in our upcoming Netflix film #TheAdamProject. Because he takes his job seriously, the role required significant research. No matter what, he’s WAY too young to know this monologue by heart. So precious."
553,JMgHZ5XHA_4,"He Bet $20,000 On A Coinflip, And Won",2021-01-07T21:11:13Z,UC4-79UOlP48-QNGgCko5p2g,MrBeast Shorts,22,21.14.01,[none],2743697,137413,1491,6897,https://i.ytimg.com/vi/JMgHZ5XHA_4/default.jpg,False,False,"Subscribe if you want to do this #shorts this is a short clip from my video called Would You Rather Have $100,000 OR This Mystery Key?"
555,ab4DHOFbnK0,10 DOLLAR TREE SECRETS to organize your home like a pro in 2021!,2021-01-06T14:09:49Z,UCJA8OyDxRY-wm0ya2gtHOsw,Do It On A Dime,26,21.14.01,doitonadime|home organization|home organizing|organizing tips|budget organization|dollar tree|cleaning|dollar tree organization|do it on a dime organization|dollar tree pantry|dollar tree kitchen|dollar tree home organization|declutter|simple organization|clean with me|dollar tree home tour|do it on a dime home tour,558079,32634,452,1365,https://i.ytimg.com/vi/ab4DHOFbnK0/default.jpg,False,False,"The first 1000 people to use my link will get a free trial of Skillshare Premium Membership: https://skl.sh/doitonadime01211I hope you guys enjoy today's video of how I organize around my home on a dime!  These are my 10 favorite products (lots of new finds!) from the Dollar Tree to simplify your home.  I'm a huge fan in 2020 and 2021 of decluttering and living with more minimalist intent.  I hope these dollar store tips, tricks and hacks are helpful! #dollartree #doitonadime #organize #declutter➡️GET DOLLAR TREE PRODUCTS: http://bit.ly/2CQEeH9➡️SHOP ITEMS I *LOVE* FROM VIDEOS: https://www.amazon.com/shop/doitonadimeWant to save more money when you shop?  These APPS ARE FREE! ➡️GET IBOTTA (Dollar Tree is on Ibotta with digital coupons): https://ibotta.com/r/onadime➡️GET RATUKEN- formerly Ebates- (Cash back from all your favorite stores with discounts and get $10 FREE using this link):https://www.ebates.com/r/DOITON7?eeid=35386📝 BLOG: http://www.doitonadimeblog.com/📘 FACEBOOK: http://www.facebook.com/DoItOnADime📸 INSTAGRAM: http://instagram.com/doitonadime/📌 PINTEREST: http://www.pinterest.com/doitonadime/Write me at:Kathryn DoitonadimeP.O. Box 1436Matthews, NC USA28106-1436Music by licensed by Epidemic Sound.FTC Disclaimer: This video is sponsored by Skillshare.  All opinions are genuinely my own.  This post also contains affiliate links and I earn a small commission if you make a purchase after clicking on my links.  It doesn't cost you any extra.  Thank you for your continued support to keep Do It On A Dime going!"
564,Wexk0hA05es,Delicious carne asada quesadilla,2021-01-04T00:33:19Z,UCG0aOR5kjOv82FJ3zyqtC2Q,Miguel’s Cookingwithfire,22,21.14.01,[none],1021564,23142,681,801,https://i.ytimg.com/vi/Wexk0hA05es/default.jpg,False,False,"Made some delicious I guess quesadillas thing 😂 anyway it’s incredible, I made it with flap meat, cheese, onion, cilantro and herdez salsa. I used @spanglish_asadero app purpose seasoning on the meat. You guys gonna give this a go. ...Credit ➡️ @cooking_with_fire___ Seasonings ➡️ @spanglish_asadero use my discount code fire10 on your next ..Music: Ice TeaMusician: Not The King.👑.#carneasada #griddlecooking #quesadilla #griddlenation #cooking #food #foodie #thefeedfeed #eeeats #instafood #instagood"
